Regrowth_Time,finalBiomass,week,type,environment
1,0.419300215413183,1,N,H20
1.95652173913043,0.616510011193677,1,N,H20
2.91304347826087,0.815915257169175,1,N,H20
3.8695652173913,0.947789390240822,1,N,H20
4.82608695652174,0.992997932035497,1,N,H20
5.78260869565217,0.987508129673175,1,N,H20
6.73913043478261,0.973666135466586,1,N,H20
7.69565217391304,0.959308687004276,1,N,H20
8.65217391304348,0.94610861496584,1,N,H20
9.60869565217391,0.934312389572152,1,N,H20
10.5652173913043,0.923823089041447,1,N,H20
11.5217391304348,0.914470364493679,1,N,H20
12.4782608695652,0.906083169743677,1,N,H20
13.4347826086957,0.898509057784141,1,N,H20
14.3913043478261,0.891617695614273,1,N,H20
15.3478260869565,0.886479345370099,1,N,H20
16.304347826087,0.882575126267144,1,N,H20
17.2608695652174,0.878722566753291,1,N,H20
18.2173913043478,0.874920782150157,1,N,H20
19.1739130434783,0.87116886234063,1,N,H20
20.1304347826087,0.867465887785875,1,N,H20
21.0869565217391,0.863810936288858,1,N,H20
22.0434782608696,0.86020308674304,1,N,H20
23,0.856641422848921,1,N,H20
1,0.617827119934825,1,S,H20
1.95652173913043,0.86672334536171,1,S,H20
2.91304347826087,1.05105593443577,1,S,H20
3.8695652173913,1.11976460129021,1,S,H20
4.82608695652174,1.11152467780828,1,S,H20
5.78260869565217,1.0931560601542,1,S,H20
6.73913043478261,1.07528327707337,1,S,H20
7.69565217391304,1.05956783732795,1,S,H20
8.65217391304348,1.046000597795,1,S,H20
9.60869565217391,1.03426946378489,1,S,H20
10.5652173913043,1.02404472992322,1,S,H20
11.5217391304348,1.01503971448839,1,S,H20
12.4782608695652,1.0070185747404,1,S,H20
13.4347826086957,0.999791250961248,1,S,H20
14.3913043478261,0.993205886829327,1,S,H20
15.3478260869565,0.987920104795241,1,S,H20
16.304347826087,0.983634661470438,1,S,H20
17.2608695652174,0.97940947816037,1,S,H20
18.2173913043478,0.975243327487563,1,S,H20
19.1739130434783,0.971134943432988,1,S,H20
20.1304347826087,0.967083092602956,1,S,H20
21.0869565217391,0.963086573123307,1,S,H20
22.0434782608696,0.959144185377092,1,S,H20
23,0.955254797519338,1,S,H20
1,0.682857253317367,1,Q,H20
1.95652173913043,0.942954513113596,1,Q,H20
2.91304347826087,1.11538107447299,1,Q,H20
3.8695652173913,1.16280020593019,1,Q,H20
4.82608695652174,1.14858794562719,1,Q,H20
5.78260869565217,1.12859015018708,1,Q,H20
6.73913043478261,1.11017159054061,1,Q,H20
7.69565217391304,1.09425150545772,1,Q,H20
8.65217391304348,1.08061417659657,1,Q,H20
9.60869565217391,1.06887301585061,1,Q,H20
10.5652173913043,1.05866462370618,1,Q,H20
11.5217391304348,1.04968461322121,1,Q,H20
12.4782608695652,1.0416871319262,1,Q,H20
13.4347826086957,1.03447640443396,1,Q,H20
14.3913043478261,1.02800469031199,1,Q,H20
15.3478260869565,1.02351675025426,1,Q,H20
16.304347826087,1.01909215921058,1,Q,H20
17.2608695652174,1.0147298134901,1,Q,H20
18.2173913043478,1.0104283889691,1,Q,H20
19.1739130434783,1.00618658594807,1,Q,H20
20.1304347826087,1.00200313899139,1,Q,H20
21.0869565217391,0.997876776585169,1,Q,H20
22.0434782608696,0.993806303124428,1,Q,H20
23,0.989790527469964,1,Q,H20
1,0.183485120355677,2,N,H20
1.95652173913043,0.284114800563245,2,N,H20
2.91304347826087,0.420925700942143,2,N,H20
3.8695652173913,0.580841592198098,2,N,H20
4.82608695652174,0.725057062300859,2,N,H20
5.78260869565217,0.814635144812853,2,N,H20
6.73913043478261,0.8445219303465,2,N,H20
7.69565217391304,0.840175401593477,2,N,H20
8.65217391304348,0.829392933313086,2,N,H20
9.60869565217391,0.817859115544976,2,N,H20
10.5652173913043,0.807050530396837,2,N,H20
11.5217391304348,0.797281583754279,2,N,H20
12.4782608695652,0.788534067755513,2,N,H20
13.4347826086957,0.780698442863263,2,N,H20
14.3913043478261,0.773648927159931,2,N,H20
15.3478260869565,0.76726733108115,2,N,H20
16.304347826087,0.761449848334966,2,N,H20
17.2608695652174,0.756107904990019,2,N,H20
18.2173913043478,0.751166982481803,2,N,H20
19.1739130434783,0.746564846081732,2,N,H20
20.1304347826087,0.74224971815202,2,N,H20
21.0869565217391,0.738178619331678,2,N,H20
22.0434782608696,0.734315903726436,2,N,H20
23,0.730632010831432,2,N,H20
1,0.417309009798415,2,S,H20
1.95652173913043,0.613863395733158,2,S,H20
2.91304347826087,0.813177056029938,2,S,H20
3.8695652173913,0.945666520062238,2,S,H20
4.82608695652174,0.990317646578653,2,S,H20
5.78260869565217,0.981829839664141,2,S,H20
6.73913043478261,0.966257166886964,2,S,H20
7.69565217391304,0.95105896597344,2,S,H20
8.65217391304348,0.937601466300577,2,S,H20
9.60869565217391,0.925929589057431,2,S,H20
10.5652173913043,0.915807373849454,2,S,H20
11.5217391304348,0.906966425645486,2,S,H20
12.4782608695652,0.899166793332166,2,S,H20
13.4347826086957,0.892208454630721,2,S,H20
14.3913043478261,0.8859291233091,2,S,H20
15.3478260869565,0.880198730753735,2,S,H20
16.304347826087,0.874913618667021,2,S,H20
17.2608695652174,0.86999141660926,2,S,H20
18.2173913043478,0.86536673388992,2,S,H20
19.1739130434783,0.860987675781131,2,S,H20
20.1304347826087,0.856813043920716,2,S,H20
21.0869565217391,0.852810081870017,2,S,H20
22.0434782608696,0.848952706544316,2,S,H20
23,0.845220114638971,2,S,H20
1,0.493789163779988,2,Q,H20
1.95652173913043,0.713547740277009,2,Q,H20
