Regrowth_Time,finalBiomass,week,type,environment
1,0.260336603815722,1,N,H20
1.95652173913043,0.259094696151579,1,N,H20
2.91304347826087,0.364273062429727,1,N,H20
3.8695652173913,0.548602821874117,1,N,H20
4.82608695652174,0.753979623666663,1,N,H20
5.78260869565217,0.912569214622278,1,N,H20
6.73913043478261,0.986062469808894,1,N,H20
7.69565217391304,0.988139615359724,1,N,H20
8.65217391304348,0.975611547124268,1,N,H20
9.60869565217391,0.961158334351685,1,N,H20
10.5652173913043,0.947568993228015,1,N,H20
11.5217391304348,0.935358830644649,1,N,H20
12.4782608695652,0.924495899206654,1,N,H20
13.4347826086957,0.914822542891579,1,N,H20
14.3913043478261,0.906164993384389,1,N,H20
15.3478260869565,0.898364998733099,1,N,H20
16.304347826087,0.891285391227418,1,N,H20
17.2608695652174,0.885026971941669,1,N,H20
18.2173913043478,0.881118091384405,1,N,H20
19.1739130434783,0.877262120875579,1,N,H20
20.1304347826087,0.873455494207216,1,N,H20
21.0869565217391,0.869699694190006,1,N,H20
22.0434782608696,0.865993112612755,1,N,H20
23,0.862334822181383,1,N,H20
1,0.388292210741569,1,S,H20
1.95652173913043,0.466762958495679,1,S,H20
2.91304347826087,0.69400027228698,1,S,H20
3.8695652173913,0.933051625798388,1,S,H20
4.82608695652174,1.08101032506122,1,S,H20
5.78260869565217,1.11674502937888,1,S,H20
6.73913043478261,1.10277655428942,1,S,H20
7.69565217391304,1.0841177773104,1,S,H20
8.65217391304348,1.06688088735294,1,S,H20
9.60869565217391,1.05188930554126,1,S,H20
10.5652173913043,1.03897169963761,1,S,H20
11.5217391304348,1.0277914278183,1,S,H20
12.4782608695652,1.01802662785667,1,S,H20
13.4347826086957,1.00940342358989,1,S,H20
14.3913043478261,1.00169938248869,1,S,H20
15.3478260869565,0.994736065572207,1,S,H20
16.304347826087,0.988371293630328,1,S,H20
17.2608695652174,0.982611633492959,1,S,H20
18.2173913043478,0.978364416660128,1,S,H20
19.1739130434783,0.974177372823729,1,S,H20
20.1304347826087,0.970049452254218,1,S,H20
21.0869565217391,0.965979401591311,1,S,H20
22.0434782608696,0.96196595500268,1,S,H20
23,0.958007870923639,1,S,H20
1,0.43094305139444,1,Q,H20
1.95652173913043,0.534998462946789,1,Q,H20
2.91304347826087,0.793149644098078,1,Q,H20
3.8695652173913,1.02807573192315,1,Q,H20
4.82608695652174,1.14684855786085,1,Q,H20
5.78260869565217,1.15560793552293,1,Q,H20
6.73913043478261,1.13713707818486,1,Q,H20
7.69565217391304,1.11757461057072,1,Q,H20
8.65217391304348,1.10024573340295,1,Q,H20
9.60869565217391,1.08536454859473,1,Q,H20
10.5652173913043,1.07260078820101,1,Q,H20
11.5217391304348,1.06157002139674,1,Q,H20
12.4782608695652,1.05193349698963,1,Q,H20
13.4347826086957,1.04341297561957,1,Q,H20
14.3913043478261,1.03578539857389,1,Q,H20
15.3478260869565,1.02887358584154,1,Q,H20
16.304347826087,1.02304937410355,1,Q,H20
17.2608695652174,1.01860136678364,1,Q,H20
18.2173913043478,1.01421635733599,1,Q,H20
19.1739130434783,1.00989305107101,1,Q,H20
20.1304347826087,1.00563011734489,1,Q,H20
21.0869565217391,1.00142626123819,1,Q,H20
22.0434782608696,0.997280215525186,1,Q,H20
23,0.993190725835652,1,Q,H20
1,0.112390625332019,2,N,H20
1.95652173913043,0.111854477986882,2,N,H20
2.91304347826087,0.111320945893618,2,N,H20
3.8695652173913,0.110790015906129,2,N,H20
4.82608695652174,0.157762832989303,2,N,H20
5.78260869565217,0.246637621966415,2,N,H20
6.73913043478261,0.371441140608466,2,N,H20
7.69565217391304,0.526186168197563,2,N,H20
8.65217391304348,0.680275705505428,2,N,H20
9.60869565217391,0.789566459997107,2,N,H20
10.5652173913043,0.839540314516374,2,N,H20
11.5217391304348,0.840602242496608,2,N,H20
12.4782608695652,0.830990732329983,2,N,H20
13.4347826086957,0.819482372073507,2,N,H20
14.3913043478261,0.808405011850861,2,N,H20
15.3478260869565,0.79831425157951,2,N,H20
16.304347826087,0.789263097196709,2,N,H20
17.2608695652174,0.781160566238433,2,N,H20
18.2173913043478,0.773883028847159,2,N,H20
19.1739130434783,0.767309304846536,2,N,H20
20.1304347826087,0.761330625327181,2,N,H20
21.0869565217391,0.755853714358987,2,N,H20
22.0434782608696,0.75080021755966,2,N,H20
23,0.746103965408915,2,N,H20
1,0.259069626708393,2,S,H20
1.95652173913043,0.276443510254268,2,S,H20
2.91304347826087,0.416707949300771,2,S,H20
3.8695652173913,0.60086840602908,2,S,H20
4.82608695652174,0.799120295541995,2,S,H20
5.78260869565217,0.936968837692889,2,S,H20
6.73913043478261,0.987351622161166,2,S,H20
7.69565217391304,0.97988371394489,2,S,H20
8.65217391304348,0.964356066327124,2,S,H20
9.60869565217391,0.94904456327409,2,S,H20
10.5652173913043,0.935477785099523,2,S,H20
11.5217391304348,0.923730093108471,2,S,H20
12.4782608695652,0.913563554713038,2,S,H20
13.4347826086957,0.9047033147453,2,S,H20
14.3913043478261,0.896902468953051,2,S,H20
15.3478260869565,0.889955213798663,2,S,H20
16.304347826087,0.88369503330633,2,S,H20
17.2608695652174,0.877988666218492,2,S,H20
18.2173913043478,0.872730085773795,2,S,H20
19.1739130434783,0.867835352233965,2,S,H20
20.1304347826087,0.86323799611016,2,S,H20
21.0869565217391,0.858885405784933,2,S,H20
22.0434782608696,0.854735962276257,2,S,H20
23,0.850756676172654,2,S,H20
1,0.3079619219965,2,Q,H20
1.95652173913043,0.331258871573728,2,Q,H20
